active_date,skill_name,job_count
2022-01-05,Kafka,2
2022-01-05,MS Excel,2
2022-01-05,SAS,2
2022-01-05,powerPoint,2
2022-01-05,SD-WAN,1
2022-01-05,Riverbeds,1
2022-01-05,Packeteers,1
2022-01-05,JIRA,1
2022-01-05,Tableau,1
2022-01-05,Hive,1
2022-01-05,Google Sheets,1
2022-01-05,Enterprise Architect,1
2022-01-05,BPMN,1
2022-01-05,UML,1
2022-01-05,Amazon AWS,1
2022-01-05,Hadoop or Cloud solutions,1
2022-01-05,Data analysis,1
2022-01-05,NIFI,1
2022-01-05,Hadoop,1
2022-01-05,Unix / Linux scripting,1
2022-01-05,Relational databases / SQL,1
2022-01-05,CDW Business Semantic Layers,1
2022-01-05,PL/SQL,1
2022-01-05,Azure / AWS / GCP,1
2022-01-05,UNIX/LINUX,1
2022-01-05,Apache Big Data Stack,1
2022-01-05,GCP,1
2022-01-05,Python/SAS,1
2022-01-05,Linux,1
2022-01-05,RDBMS,1
2022-01-05,MS SQL,1
2022-01-05,Kubernetes,1
2022-01-05,Google Cloud,1
2022-01-05,Shell Scripting,1
2022-01-06,SQL,42
2022-01-06,Python,22
2022-01-06,Java,17
2022-01-06,Big Data,16
2022-01-06,Kotlin,10
2022-01-06,English,8
2022-01-06,R,6
2022-01-06,Spark,5
2022-01-06,AWS,5
2022-01-06,Data,4
2022-01-06,Excel,4
2022-01-06,Scala,4
2022-01-06,Google Tag Manager,3
2022-01-06,Google Analytics,3
2022-01-06,ETL,3
2022-01-06,Data modeling,3
2022-01-06,powerPoint,3
2022-01-06,Azure,2
2022-01-06,Tableau,2
2022-01-06,Data analysis,2
2022-01-06,Kafka,2
2022-01-06,MS Excel,2
2022-01-06,SAS,2
2022-01-06,SD-WAN,1
2022-01-06,Riverbeds,1
2022-01-06,Packeteers,1
2022-01-06,JIRA,1
2022-01-06,Hive,1
2022-01-06,Google Sheets,1
2022-01-06,Enterprise Architect,1
2022-01-06,BPMN,1
2022-01-06,UML,1
2022-01-06,Amazon AWS,1
2022-01-06,Hadoop or Cloud solutions,1
2022-01-06,NIFI,1
2022-01-06,Hadoop,1
2022-01-06,Unix / Linux scripting,1
2022-01-06,Relational databases / SQL,1
2022-01-06,CDW Business Semantic Layers,1
2022-01-06,PL/SQL,1
2022-01-06,Azure / AWS / GCP,1
2022-01-06,UNIX/LINUX,1
2022-01-06,Apache Big Data Stack,1
