active_date,skill_name,job_count,month_total
2022-05,Spark,22,386
2022-05,AWS,22,386
2022-05,Scala,18,386
2022-05,Azure,15,386
2022-05,Linux,11,386
2022-05,Hadoop,10,386
2022-05,Kotlin,10,386
2022-05,GCP,10,386
2022-05,Excel,7,386
2022-05,Kafka,7,386
2022-05,Programming,7,386
2022-05,ETL,6,386
2022-05,Hive,5,386
2022-05,Looker,5,386
2022-05,Amazon Web Services,5,386
2022-05,R,4,386
2022-05,VBA/VBS,4,386
2022-05,Pandas,4,386
2022-05,Tableau,3,386
2022-05,Git,3,386
2022-05,REST,3,386
2022-05,Amplitude,3,386
2022-05,PowerBI,3,386
2022-05,Kubernetes,2,386
2022-05,Docker,2,386
2022-05,Apache Hadoop,2,386
2022-05,VBA,2,386
2022-05,Bash,2,386
2022-05,Jenkins,1,386
2022-05,CI/CD,1,386
2022-05,DevOps,1,386
2022-05,A/B,1,386
2022-05,LAN/WAN,1,386
2022-05,Linux / Unix,1,386
2022-05,Matlab,1,386
2022-05,NoSQL,1,386
2022-05,Statistics,1,386
2022-05,Critical thinking,1,386
2022-05,Cloud,1,386
2022-05,Salesforce,1,386
2022-05,CRM,1,386
2022-05,Spring,1,386
2022-05,Sparx,1,386
2022-05,Project Management,1,386
2022-05,SaaS,1,386
2022-05,Hadoop or Cloud solutions,1,386
2022-05,NIFI,1,386
2022-05,UNIX/LINUX (Red Hat) RH 7.x,1,386
2022-05,HTML5,1,386
2022-05,PHP 7.x,1,386
2022-05,DBMS,1,386
2022-05,Microsoft Azure Cloud,1,386
2022-05,Windows,1,386
2022-05,API,1,386
2022-05,Cloud Infrastructure,1,386
2022-05,K8S,1,386
2022-05,Apache Kafka,1,386
2022-06,SQL,136,633
2022-06,Spark,65,633
2022-06,Python,65,633
2022-06,PowerBI,43,633
2022-06,QlikView,38,633
2022-06,Java,30,633
2022-06,Hadoop,25,633
2022-06,Scala,23,633
2022-06,NoSQL,20,633
2022-06,Open source,19,633
2022-06,AWS,19,633
2022-06,Azure,16,633
2022-06,GCP,11,633
2022-06,Linux,11,633
2022-06,Kotlin,10,633
2022-06,ETL,8,633
2022-06,Excel,8,633
2022-06,R,7,633
2022-06,Programming,7,633
2022-06,Kafka,6,633
2022-06,Tableau,6,633
2022-06,Pandas,5,633
2022-06,Amazon Web Services,5,633
2022-06,Hive,4,633
2022-06,VBA/VBS,4,633
2022-06,Looker,4,633
