active_date,skill_name,job_count
2022-01-30,Java,10
2022-01-30,Spark,7
2022-01-30,Scala,6
2022-01-30,Tableau,3
2022-01-30,English,3
2022-01-31,Python,20
2022-01-31,SQL,19
2022-01-31,Big Data,10
2022-01-31,Java,10
2022-01-31,Spark,7
2022-01-31,Scala,6
2022-01-31,Tableau,3
2022-01-31,English,3
2022-02-01,SQL,28
2022-02-01,Python,21
2022-02-01,Big Data,18
2022-02-01,Java,18
2022-02-01,Spark,7
2022-02-01,Scala,6
2022-02-01,Tableau,3
2022-02-01,English,3
2022-02-02,SQL,30
2022-02-02,Python,23
2022-02-02,Big Data,18
2022-02-02,Java,18
2022-02-02,Spark,7
2022-02-02,Scala,6
2022-02-02,Tableau,3
2022-02-02,English,3
2022-02-03,Python,42
2022-02-03,Java,36
2022-02-03,SQL,33
2022-02-03,Scala,25
2022-02-03,Big Data,19
2022-02-03,Spark,7
2022-02-03,Tableau,3
2022-02-03,English,3
2022-02-03,Power BI,1
2022-02-04,Python,44
2022-02-04,Java,36
2022-02-04,SQL,33
2022-02-04,Scala,25
2022-02-04,Big Data,19
2022-02-04,Spark,7
2022-02-04,Tableau,3
2022-02-04,English,3
2022-02-04,Power BI,1
2022-02-05,Python,44
2022-02-05,Java,35
2022-02-05,SQL,33
2022-02-05,Scala,25
2022-02-05,Big Data,19
2022-02-05,Spark,7
2022-02-05,Tableau,3
2022-02-05,English,3
2022-02-05,Power BI,2
2022-02-05,Data,1
2022-02-06,Python,44
2022-02-06,Java,35
2022-02-06,SQL,33
2022-02-06,Scala,25
2022-02-06,Big Data,19
2022-02-06,Spark,7
2022-02-06,Tableau,3
2022-02-06,English,3
2022-02-06,Power BI,2
2022-02-06,Data,1
2022-02-07,Python,44
2022-02-07,Java,35
2022-02-07,SQL,33
2022-02-07,Scala,25
2022-02-07,Big Data,19
2022-02-07,Spark,7
2022-02-07,Tableau,3
2022-02-07,English,3
2022-02-07,Power BI,2
2022-02-07,Data,1
2022-02-08,Python,45
