day,job_count,prev_day_count,abs_change,pct_change
2022-01-01,69,,,
2022-01-02,69,69,0,0.0
2022-01-03,69,69,0,0.0
2022-01-04,69,69,0,0.0
2022-01-05,73,69,4,0.057971014492753624
2022-01-06,76,73,3,0.0410958904109589
2022-01-07,73,76,-3,-0.039473684210526314
2022-01-08,65,73,-8,-0.1095890410958904
2022-01-09,64,65,-1,-0.015384615384615385
2022-01-10,61,64,-3,-0.046875
2022-01-11,61,61,0,0.0
2022-01-12,66,61,5,0.081967213114754092
2022-01-13,65,66,-1,-0.015151515151515152
2022-01-14,65,65,0,0.0
2022-01-15,65,65,0,0.0
2022-01-16,62,65,-3,-0.046153846153846156
2022-01-17,59,62,-3,-0.048387096774193547
2022-01-18,60,59,1,0.016949152542372881
2022-01-19,59,60,-1,-0.016666666666666666
2022-01-20,62,59,3,0.050847457627118647
2022-01-21,52,62,-10,-0.16129032258064516
2022-01-22,49,52,-3,-0.057692307692307696
